Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-1029,2022-09-12,2022-09-14,Same Day,CG-55830,Customer 157,Consumer,United States,City 30,Nevada,West,TEC-4652,Furniture,Chairs,Chairs Product 4,349.69,8,0.1,41.62
US-1030,2023-11-07,2023-11-13,Same Day,CG-99065,Customer 432,Consumer,United States,City 69,Ohio,Central,TEC-6425,Technology,Computers,Computers Product 4,404.17,5,0.15,56.87
US-1031,2022-04-29,2022-05-02,First Class,CG-67199,Customer 311,Consumer,United States,City 66,Texas,Central,TEC-2894,Furniture,Chairs,Chairs Product 50,134.05,10,0.2,4.31
US-1032,2023-08-14,2023-08-20,Second Class,CG-57739,Customer 221,Consumer,United States,City 9,Nevada,West,TEC-6409,Technology,Computers,Computers Product 80,662.51,9,0.25,144.3
US-1033,2022-11-18,2022-11-22,First Class,CG-82667,Customer 66,Home Office,United States,City 25,Ohio,Central,TEC-7888,Office Supplies,Paper,Paper Product 86,96.4,7,0.15,17.37
US-1034,2023-01-24,2023-01-27,First Class,CG-37549,Customer 221,Corporate,United States,City 75,Pennsylvania,East,TEC-6279,Office Supplies,Art,Art Product 60,118.08,9,0.0,9.6
US-1035,2023-03-29,2023-04-01,First Class,CG-22240,Customer 420,Home Office,United States,City 97,Virginia,East,TEC-4848,Furniture,Bookcases,Bookcases Product 87,354.21,3,0.0,50.13
US-1036,2022-11-14,2022-11-19,Standard Class,CG-69692,Customer 213,Consumer,United States,City 81,New York,East,TEC-4185,Technology,Phones,Phones Product 92,492.83,4,0.2,112.48
US-1037,2023-12-15,2023-12-22,Same Day,CG-38683,Customer 91,Consumer,United States,City 90,North Carolina,South,TEC-9486,Furniture,Tables,Tables Product 60,10.0,1,0.0,1.13
US-1038,2022-02-21,2022-02-26,First Class,CG-68008,Customer 314,Consumer,United States,City 93,Nevada,West,TEC-9270,Office Supplies,Paper,Paper Product 55,104.35,8,0.25,10.65
US-1039,2023-07-16,2023-07-23,Same Day,CG-92149,Customer 123,Corporate,United States,City 36,Alabama,South,TEC-8206,Furniture,Chairs,Chairs Product 10,313.76,4,0.15,0.16
US-1040,2022-10-20,2022-10-22,Second Class,CG-60205,Customer 356,Home Office,United States,City 20,Ohio,Central,TEC-4505,Technology,Computers,Computers Product 9,456.07,2,0.1,76.55
US-1041,2023-03-01,2023-03-05,Standard Class,CG-85456,Customer 195,Consumer,United States,City 62,Alabama,South,TEC-1096,Furniture,Tables,Tables Product 46,521.68,4,0.2,30.92
US-1042,2022-11-02,2022-11-06,Standard Class,CG-60968,Customer 173,Consumer,United States,City 86,Virginia,East,TEC-7624,Furniture,Tables,Tables Product 93,178.73,5,0.2,10.71
US-1043,2022-06-19,2022-06-20,Same Day,CG-27786,Customer 444,Home Office,United States,City 60,Nevada,West,TEC-3977,Furniture,Chairs,Chairs Product 7,437.31,10,0.0,40.74
US-1044,2022-09-24,2022-09-27,Same Day,CG-43065,Customer 428,Corporate,United States,City 11,Virginia,East,TEC-8705,Furniture,Tables,Tables Product 3,220.54,6,0.2,22.17
US-1045,2023-07-07,2023-07-09,Second Class,CG-12671,Customer 319,Home Office,United States,City 20,New York,East,TEC-4908,Technology,Computers,Computers Product 17,519.42,1,0.0,103.07
US-1046,2023-04-30,2023-05-02,Standard Class,CG-31465,Customer 494,Home Office,United States,City 40,Virginia,East,TEC-2771,Office Supplies,Paper,Paper Product 75,64.9,5,0.15,6.51
US-1047,2022-01-27,2022-02-01,Second Class,CG-23356,Customer 357,Home Office,United States,City 99,Alabama,South,TEC-5941,Furniture,Bookcases,Bookcases Product 88,241.18,4,0.0,5.18
US-1048,2023-09-07,2023-09-08,First Class,CG-11658,Customer 435,Home Office,United States,City 54,Oregon,West,TEC-9031,Technology,Accessories,Accessories Product 14,559.22,7,0.15,91.18
US-1049,2023-03-20,2023-03-26,First Class,CG-90728,Customer 414,Corporate,United States,City 69,North Carolina,South,TEC-8921,Furniture,Bookcases,Bookcases Product 60,300.77,3,0.25,21.24
US-1050,2023-03-23,2023-03-27,Second Class,CG-70910,Customer 292,Consumer,United States,City 79,Ohio,Central,TEC-7209,Office Supplies,Art,Art Product 44,29.23,2,0.15,2.77
US-1051,2022-01-30,2022-02-02,First Class,CG-88139,Customer 360,Consumer,United States,City 36,Virginia,East,TEC-1166,Furniture,Tables,Tables Product 67,248.59,6,0.15,11.91
US-1052,2022-07-15,2022-07-21,Same Day,CG-68743,Customer 406,Home Office,United States,City 3,Alabama,South,TEC-2524,Technology,Phones,Phones Product 38,467.74,4,0.2,79.61
US-1053,2022-08-15,2022-08-19,First Class,CG-65771,Customer 382,Home Office,United States,City 71,Pennsylvania,East,TEC-6419,Furniture,Bookcases,Bookcases Product 46,582.93,10,0.15,50.7
US-1054,2023-12-21,2023-12-24,Standard Class,CG-80236,Customer 487,Consumer,United States,City 98,Ohio,Central,TEC-4033,Furniture,Tables,Tables Product 25,338.63,2,0.1,26.08
US-1055,2022-08-10,2022-08-12,First Class,CG-33519,Customer 155,Consumer,United States,City 2,Ohio,Central,TEC-9751,Office Supplies,Binders,Binders Product 17,10.0,4,0.15,1.18
US-1056,2022-10-08,2022-10-15,Standard Class,CG-85243,Customer 146,Home Office,United States,City 61,Illinois,Central,TEC-8843,Technology,Phones,Phones Product 57,512.05,8,0.0,139.87
US-1057,2022-12-15,2022-12-19,Standard Class,CG-85631,Customer 323,Consumer,United States,City 88,Michigan,Central,TEC-1878,Technology,Phones,Phones Product 20,461.53,2,0.2,76.19
US-1058,2022-06-02,2022-06-07,Second Class,CG-78494,Customer 195,Consumer,United States,City 58,Washington,West,TEC-8253,Office Supplies,Binders,Binders Product 39,98.26,9,0.2,4.9
US-1059,2023-08-26,2023-09-01,Standard Class,CG-30585,Customer 123,Consumer,United States,City 23,California,West,TEC-2229,Furniture,Tables,Tables Product 21,471.42,4,0.15,51.89
US-1060,2022-01-03,2022-01-09,First Class,CG-69510,Customer 37,Consumer,United States,City 88,Tennessee,South,TEC-4824,Furniture,Tables,Tables Product 34,418.65,4,0.15,18.26
US-1061,2023-10-03,2023-10-09,Second Class,CG-44816,Customer 424,Consumer,United States,City 19,Virginia,East,TEC-2169,Office Supplies,Art,Art Product 8,170.14,9,0.1,6.11
US-1062,2022-06-19,2022-06-25,Same Day,CG-45683,Customer 257,Consumer,United States,City 70,Michigan,Central,TEC-9090,Furniture,Bookcases,Bookcases Product 57,388.03,8,0.15,65.04
US-1063,2022-03-24,2022-03-25,Second Class,CG-98381,Customer 429,Home Office,United States,City 74,Tennessee,South,TEC-1339,Office Supplies,Paper,Paper Product 98,50.47,5,0.0,4.34
US-1064,2023-11-20,2023-11-23,Second Class,CG-86720,Customer 224,Corporate,United States,City 82,Washington,West,TEC-9056,Furniture,Bookcases,Bookcases Product 12,314.95,9,0.2,18.85
US-1065,2023-04-27,2023-04-30,Same Day,CG-74942,Customer 148,Home Office,United States,City 85,Ohio,Central,TEC-7561,Furniture,Tables,Tables Product 98,67.4,2,0.1,5.58
US-1066,2023-07-18,2023-07-25,Same Day,CG-77449,Customer 423,Corporate,United States,City 1,Oregon,West,TEC-9889,Technology,Computers,Computers Product 60,287.54,6,0.0,49.94
US-1067,2023-02-28,2023-03-02,First Class,CG-81987,Customer 68,Home Office,United States,City 37,Michigan,Central,TEC-8178,Technology,Phones,Phones Product 90,316.12,8,0.0,71.92
US-1068,2023-05-12,2023-05-17,Same Day,CG-22217,Customer 116,Corporate,United States,City 15,Florida,East,TEC-8560,Technology,Phones,Phones Product 16,343.35,9,0.0,45.97
US-1069,2023-10-26,2023-10-28,Same Day,CG-82255,Customer 75,Corporate,United States,City 50,Ohio,Central,TEC-4122,Technology,Computers,Computers Product 77,662.7,8,0.2,58.62
US-1070,2023-06-05,2023-06-08,Standard Class,CG-47072,Customer 372,Corporate,United States,City 39,Oregon,West,TEC-9022,Office Supplies,Paper,Paper Product 20,111.37,6,0.25,22.1
US-1071,2023-04-03,2023-04-07,First Class,CG-34727,Customer 358,Home Office,United States,City 31,Ohio,Central,TEC-7274,Office Supplies,Binders,Binders Product 30,19.63,9,0.2,2.57
US-1072,2023-02-25,2023-02-26,Second Class,CG-75836,Customer 495,Corporate,United States,City 76,Alabama,South,TEC-6439,Technology,Computers,Computers Product 13,551.98,3,0.2,104.37
US-1073,2023-03-27,2023-04-03,Second Class,CG-19807,Customer 241,Home Office,United States,City 34,Georgia,South,TEC-6546,Technology,Accessories,Accessories Product 80,252.61,3,0.2,21.21
US-1074,2023-12-11,2023-12-14,Same Day,CG-80912,Customer 19,Home Office,United States,City 80,Oregon,West,TEC-2121,Furniture,Bookcases,Bookcases Product 31,378.29,9,0.2,34.76
US-1075,2023-10-09,2023-10-13,Second Class,CG-49251,Customer 463,Corporate,United States,City 4,New York,East,TEC-1753,Office Supplies,Binders,Binders Product 42,112.52,2,0.0,15.84
US-1076,2022-02-27,2022-03-03,Second Class,CG-32280,Customer 90,Consumer,United States,City 11,Michigan,Central,TEC-7267,Furniture,Tables,Tables Product 80,198.0,4,0.25,17.68
US-1077,2023-12-01,2023-12-04,Standard Class,CG-70981,Customer 462,Corporate,United States,City 37,Florida,East,TEC-9955,Technology,Computers,Computers Product 21,558.61,5,0.2,63.84
US-1078,2022-03-17,2022-03-24,First Class,CG-36111,Customer 197,Home Office,United States,City 62,Michigan,Central,TEC-2747,Furniture,Tables,Tables Product 31,579.87,5,0.2,57.38
US-1079,2023-01-26,2023-01-27,Standard Class,CG-89482,Customer 382,Consumer,United States,City 64,Ohio,Central,TEC-5689,Office Supplies,Binders,Binders Product 100,40.43,7,0.15,6.45
US-1080,2022-08-24,2022-08-30,Standard Class,CG-92242,Customer 331,Home Office,United States,City 6,Florida,East,TEC-6061,Office Supplies,Binders,Binders Product 57,51.27,5,0.1,8.57
US-1081,2022-02-04,2022-02-06,Second Class,CG-27322,Customer 403,Corporate,United States,City 70,New York,East,TEC-6994,Office Supplies,Binders,Binders Product 68,157.93,6,0.2,11.17
US-1082,2023-05-29,2023-06-02,Standard Class,CG-28449,Customer 387,Corporate,United States,City 29,Michigan,Central,TEC-7511,Furniture,Chairs,Chairs Product 72,444.51,6,0.0,42.9
US-1083,2023-01-10,2023-01-13,First Class,CG-86619,Customer 196,Home Office,United States,City 82,Oregon,West,TEC-7086,Technology,Computers,Computers Product 14,664.41,2,0.2,162.67
US-1084,2023-11-23,2023-11-29,Same Day,CG-49608,Customer 333,Home Office,United States,City 53,Oregon,West,TEC-2911,Technology,Computers,Computers Product 18,450.92,4,0.0,50.64
US-1085,2022-02-16,2022-02-18,Same Day,CG-69459,Customer 190,Consumer,United States,City 86,Georgia,South,TEC-9850,Technology,Computers,Computers Product 54,322.1,4,0.25,35.18
US-1086,2023-08-25,2023-08-30,Same Day,CG-46666,Customer 17,Home Office,United States,City 89,Virginia,East,TEC-7070,Office Supplies,Art,Art Product 28,96.14,2,0.2,13.51
US-1087,2023-03-31,2023-04-06,First Class,CG-17936,Customer 204,Home Office,United States,City 36,Texas,Central,TEC-4109,Furniture,Chairs,Chairs Product 16,341.5,6,0.25,38.62
US-1088,2023-04-11,2023-04-13,Second Class,CG-18992,Customer 425,Consumer,United States,City 98,New York,East,TEC-4394,Technology,Accessories,Accessories Product 76,502.6,6,0.1,111.92
US-1089,2022-08-10,2022-08-15,First Class,CG-32871,Customer 57,Corporate,United States,City 85,New York,East,TEC-1422,Technology,Computers,Computers Product 17,447.07,3,0.1,127.87
US-1090,2022-01-16,2022-01-18,Same Day,CG-78955,Customer 59,Consumer,United States,City 96,Texas,Central,TEC-2041,Furniture,Chairs,Chairs Product 61,393.85,5,0.0,18.0
US-1091,2023-04-05,2023-04-06,First Class,CG-70036,Customer 330,Home Office,United States,City 4,Nevada,West,TEC-1996,Furniture,Bookcases,Bookcases Product 62,139.37,4,0.25,13.84
US-1092,2023-02-16,2023-02-17,First Class,CG-89730,Customer 76,Home Office,United States,City 9,Nevada,West,TEC-3067,Furniture,Bookcases,Bookcases Product 36,266.48,8,0.0,28.93
US-1093,2023-10-02,2023-10-06,Same Day,CG-22999,Customer 407,Home Office,United States,City 90,Michigan,Central,TEC-2874,Office Supplies,Art,Art Product 84,123.66,9,0.15,14.3
US-1094,2023-10-29,2023-11-01,Same Day,CG-62262,Customer 213,Corporate,United States,City 94,Virginia,East,TEC-2557,Office Supplies,Art,Art Product 41,57.66,4,0.2,1.68
US-1095,2023-03-14,2023-03-15,Standard Class,CG-22219,Customer 222,Consumer,United States,City 13,Ohio,Central,TEC-7105,Furniture,Bookcases,Bookcases Product 17,233.02,8,0.0,26.62
US-1096,2023-07-24,2023-07-31,Standard Class,CG-47700,Customer 308,Corporate,United States,City 40,Texas,Central,TEC-6761,Technology,Accessories,Accessories Product 14,542.82,6,0.2,47.61
US-1097,2023-08-15,2023-08-22,First Class,CG-25058,Customer 391,Consumer,United States,City 36,Virginia,East,TEC-4705,Office Supplies,Paper,Paper Product 55,108.66,2,0.15,15.55
US-1098,2023-07-29,2023-08-04,First Class,CG-54541,Customer 180,Consumer,United States,City 1,Oregon,West,TEC-3972,Office Supplies,Art,Art Product 19,55.81,3,0.15,7.21
US-1099,2023-08-03,2023-08-09,Second Class,CG-59308,Customer 215,Home Office,United States,City 59,Washington,West,TEC-6585,Office Supplies,Binders,Binders Product 21,102.91,1,0.0,5.29
US-1100,2023-01-14,2023-01-21,Standard Class,CG-98338,Customer 42,Consumer,United States,City 35,Texas,Central,TEC-8259,Furniture,Bookcases,Bookcases Product 85,353.67,3,0.1,36.23
US-1101,2023-03-11,2023-03-12,First Class,CG-66349,Customer 57,Corporate,United States,City 37,Alabama,South,TEC-8972,Furniture,Bookcases,Bookcases Product 68,462.46,4,0.25,56.49
US-1102,2023-11-15,2023-11-17,First Class,CG-37686,Customer 393,Home Office,United States,City 18,Virginia,East,TEC-5186,Furniture,Chairs,Chairs Product 38,93.35,1,0.0,3.97
US-1103,2022-12-02,2022-12-07,Second Class,CG-75570,Customer 287,Consumer,United States,City 86,Alabama,South,TEC-6802,Technology,Phones,Phones Product 10,603.01,3,0.2,105.94
US-1104,2023-02-11,2023-02-16,Same Day,CG-85156,Customer 208,Corporate,United States,City 91,Georgia,South,TEC-7843,Office Supplies,Paper,Paper Product 38,125.75,2,0.15,44.16
US-1105,2022-04-28,2022-04-29,Same Day,CG-23875,Customer 125,Home Office,United States,City 56,Illinois,Central,TEC-7560,Furniture,Chairs,Chairs Product 68,385.63,8,0.15,48.37
US-1106,2022-03-22,2022-03-27,Standard Class,CG-79547,Customer 262,Corporate,United States,City 25,Illinois,Central,TEC-6724,Furniture,Tables,Tables Product 45,443.1,3,0.0,46.99
US-1107,2023-10-23,2023-10-28,Second Class,CG-95918,Customer 39,Corporate,United States,City 23,Washington,West,TEC-9095,Technology,Phones,Phones Product 60,436.95,4,0.1,82.12
US-1108,2023-08-01,2023-08-05,Same Day,CG-92756,Customer 156,Consumer,United States,City 36,Ohio,Central,TEC-1920,Office Supplies,Binders,Binders Product 46,61.36,8,0.0,6.49
US-1109,2023-06-04,2023-06-11,First Class,CG-20057,Customer 331,Consumer,United States,City 12,Alabama,South,TEC-9307,Technology,Computers,Computers Product 50,402.93,1,0.15,62.09
US-1110,2023-04-19,2023-04-24,Same Day,CG-75715,Customer 78,Home Office,United States,City 8,Nevada,West,TEC-8381,Office Supplies,Art,Art Product 14,215.73,4,0.15,1.72
US-1111,2022-12-18,2022-12-23,Second Class,CG-57696,Customer 191,Consumer,United States,City 37,New York,East,TEC-7347,Office Supplies,Paper,Paper Product 53,134.31,8,0.2,3.12
US-1112,2022-12-13,2022-12-18,Same Day,CG-47243,Customer 130,Consumer,United States,City 93,Oregon,West,TEC-3463,Office Supplies,Art,Art Product 43,76.4,6,0.0,14.16
US-1113,2022-03-25,2022-03-30,Standard Class,CG-50577,Customer 287,Corporate,United States,City 49,Pennsylvania,East,TEC-6381,Office Supplies,Art,Art Product 17,103.21,7,0.1,5.71
US-1114,2023-11-18,2023-11-21,First Class,CG-33627,Customer 487,Home Office,United States,City 28,Nevada,West,TEC-6598,Office Supplies,Art,Art Product 99,64.23,6,0.0,10.33
US-1115,2023-05-13,2023-05-18,Standard Class,CG-96760,Customer 173,Consumer,United States,City 99,Florida,East,TEC-3147,Technology,Phones,Phones Product 77,353.93,5,0.0,56.92
US-1116,2023-01-21,2023-01-25,First Class,CG-98652,Customer 369,Home Office,United States,City 31,Florida,East,TEC-8277,Technology,Phones,Phones Product 79,509.11,8,0.0,59.78
US-1117,2022-10-19,2022-10-22,Same Day,CG-70513,Customer 394,Corporate,United States,City 37,Florida,East,TEC-7256,Office Supplies,Binders,Binders Product 65,207.2,8,0.1,32.74
US-1118,2023-06-25,2023-07-02,First Class,CG-82684,Customer 479,Corporate,United States,City 14,Florida,East,TEC-9452,Furniture,Chairs,Chairs Product 16,10.0,1,0.2,0.87
US-1119,2022-10-19,2022-10-20,Second Class,CG-69130,Customer 453,Home Office,United States,City 45,Michigan,Central,TEC-1436,Technology,Phones,Phones Product 54,367.64,3,0.2,70.82
US-1120,2022-02-24,2022-02-26,Standard Class,CG-51770,Customer 477,Corporate,United States,City 13,Illinois,Central,TEC-6493,Furniture,Bookcases,Bookcases Product 19,181.12,2,0.15,13.66
US-1121,2022-05-21,2022-05-26,Standard Class,CG-20384,Customer 10,Home Office,United States,City 33,North Carolina,South,TEC-4533,Technology,Computers,Computers Product 20,601.0,8,0.2,116.17
US-1122,2023-07-16,2023-07-17,Standard Class,CG-41252,Customer 215,Corporate,United States,City 82,Georgia,South,TEC-8489,Office Supplies,Art,Art Product 9,39.99,4,0.15,4.0
US-1123,2022-04-24,2022-04-28,Standard Class,CG-90584,Customer 181,Home Office,United States,City 31,Washington,West,TEC-7825,Furniture,Bookcases,Bookcases Product 24,228.76,3,0.15,12.32
US-1124,2023-11-12,2023-11-19,Standard Class,CG-61177,Customer 448,Home Office,United States,City 61,Texas,Central,TEC-1713,Office Supplies,Paper,Paper Product 82,188.27,9,0.25,27.17
US-1125,2023-02-01,2023-02-07,Standard Class,CG-86271,Customer 377,Consumer,United States,City 97,Oregon,West,TEC-6447,Furniture,Tables,Tables Product 18,110.87,6,0.1,12.94
US-1126,2022-02-15,2022-02-21,Second Class,CG-27675,Customer 33,Home Office,United States,City 92,Illinois,Central,TEC-8498,Furniture,Bookcases,Bookcases Product 5,618.32,8,0.2,75.0
US-1127,2022-10-28,2022-11-01,Same Day,CG-43202,Customer 19,Corporate,United States,City 97,New York,East,TEC-4131,Technology,Phones,Phones Product 37,196.13,5,0.25,24.67
US-1128,2023-01-01,2023-01-05,Same Day,CG-60678,Customer 174,Consumer,United States,City 24,Ohio,Central,TEC-9129,Technology,Accessories,Accessories Product 89,753.38,6,0.2,86.35
US-1129,2023-05-25,2023-05-29,Second Class,CG-81496,Customer 151,Home Office,United States,City 42,Texas,Central,TEC-2680,Furniture,Bookcases,Bookcases Product 11,366.57,7,0.0,40.68
US-1130,2022-12-02,2022-12-08,Same Day,CG-56077,Customer 229,Home Office,United States,City 6,Michigan,Central,TEC-6776,Office Supplies,Binders,Binders Product 79,53.65,7,0.1,6.25
US-1131,2023-03-22,2023-03-27,Second Class,CG-14081,Customer 74,Home Office,United States,City 78,California,West,TEC-8179,Furniture,Bookcases,Bookcases Product 5,10.0,7,0.15,0.39
US-1132,2022-05-10,2022-05-15,Second Class,CG-99006,Customer 231,Corporate,United States,City 48,Ohio,Central,TEC-7095,Technology,Phones,Phones Product 57,449.49,10,0.0,39.38
US-1133,2022-03-20,2022-03-21,Standard Class,CG-34385,Customer 256,Corporate,United States,City 67,Michigan,Central,TEC-7340,Office Supplies,Paper,Paper Product 72,181.62,5,0.1,6.21
US-1134,2022-05-01,2022-05-03,Standard Class,CG-27790,Customer 437,Home Office,United States,City 10,North Carolina,South,TEC-8406,Furniture,Tables,Tables Product 23,233.99,5,0.2,19.94
US-1135,2023-04-01,2023-04-06,First Class,CG-49315,Customer 436,Home Office,United States,City 21,Ohio,Central,TEC-3852,Technology,Accessories,Accessories Product 47,788.25,2,0.25,61.65
US-1136,2023-06-05,2023-06-08,First Class,CG-71263,Customer 412,Consumer,United States,City 71,Florida,East,TEC-3126,Technology,Phones,Phones Product 79,732.63,8,0.0,110.27
US-1137,2022-03-30,2022-04-06,Standard Class,CG-26426,Customer 498,Home Office,United States,City 41,Alabama,South,TEC-2215,Technology,Computers,Computers Product 58,303.7,7,0.2,52.57
US-1138,2023-04-23,2023-04-30,Second Class,CG-66704,Customer 258,Home Office,United States,City 8,Illinois,Central,TEC-3034,Office Supplies,Art,Art Product 67,109.95,10,0.1,9.23
US-1139,2022-06-06,2022-06-11,First Class,CG-20336,Customer 129,Home Office,United States,City 26,Pennsylvania,East,TEC-5496,Furniture,Chairs,Chairs Product 17,310.47,4,0.15,20.05
US-1140,2023-10-03,2023-10-05,First Class,CG-83874,Customer 22,Home Office,United States,City 4,Washington,West,TEC-2330,Furniture,Bookcases,Bookcases Product 6,317.03,10,0.1,33.76
US-1141,2023-10-19,2023-10-25,First Class,CG-94136,Customer 490,Home Office,United States,City 39,Virginia,East,TEC-8912,Office Supplies,Binders,Binders Product 32,179.3,1,0.2,8.2
US-1142,2023-12-03,2023-12-07,Same Day,CG-73471,Customer 238,Home Office,United States,City 27,Georgia,South,TEC-6573,Furniture,Tables,Tables Product 78,619.96,1,0.1,1.19
US-1143,2022-05-28,2022-06-02,Standard Class,CG-51827,Customer 124,Corporate,United States,City 60,Ohio,Central,TEC-3007,Furniture,Bookcases,Bookcases Product 35,277.23,3,0.15,28.7
US-1144,2023-04-06,2023-04-10,Second Class,CG-30932,Customer 417,Corporate,United States,City 42,California,West,TEC-6123,Technology,Phones,Phones Product 25,556.2,7,0.25,66.11
US-1145,2022-06-13,2022-06-14,Same Day,CG-76249,Customer 235,Corporate,United States,City 31,Alabama,South,TEC-4524,Furniture,Bookcases,Bookcases Product 75,268.78,8,0.0,16.2
